name,bse_code,nse_code,industry,current_price,price_to_earning,market_capitalization,roce,eps_last_year,roe,book_value,price_to_book_value,graham_number,historical_pe_7years,current_ratio,peg_ratio,debt_equity,z_score,f_score,npm_last_year,growth,eps,industry_pe,quick_ratio,debtor_days,number_of_equity_shares,intrinsic_value,enterprise_value,pledged_percentage,promoter_holding,earnings_yield,free_cash_flow_3years,g_factor,return_on_assets,ticker,debt_equity_norm,current_ratio_norm,growth_norm,roce_norm,roe_norm,final_score
Meghna Infracon,538668.0,,Finance & Investments,812.35,150.57,882.36,21.05,2.92,27.32,13.8,58.86,40.93,149.63,36.02,3.43,0.0,96.8,8.0,5.77,214.23,5.4,11.55,22.24,4.19,1.09,49.3,882.06,0.0,46.92,0.76,-1.31,3.0,19.37,MIIL.BO,1.0,1.0,1.0,0.12449727939436953,0.07006924852526289,0.6389133055839264
Infronics Sys.,537985.0,,Computers - Software - Medium / Small,35.45,18.37,28.1,123.82,3.18,259.79,3.61,9.82,12.52,28.19,17.44,0.28,0.01,20.78,8.0,58.06,-0.76,1.93,27.72,17.44,66.44,0.79,23.6,25.62,0.0,53.55,8.78,2.92,4.0,51.27,INFRONICS.BO,0.989010989010989,0.4841754580788451,-0.0035475890398170193,0.7323160634019398,0.666299051038728,0.5240228655955966
Nestle India,500790.0,NESTLEIND,Food - Processing - MNC,2191.95,67.37,211338.43,169.08,40.79,135.33,41.39,52.96,180.23,77.11,0.75,3.45,0.09,33.93,8.0,16.09,22.25,34.88,52.41,0.26,4.5,96.42,475.03,211567.73,0.0,62.76,2.04,5998.38,4.0,40.25,NESTLEIND.NS,0.9010989010989011,0.02082176568573015,0.10386033702095879,1.0,0.34708899717876385,0.4347120719929737
Network People,,NPST,Computers - Software - Medium / Small,1616.95,64.08,3135.25,83.46,13.78,63.69,47.63,33.95,164.47,81.5,2.99,0.78,0.0,40.73,9.0,21.53,102.59,25.24,27.72,2.99,2.8,1.94,458.14,3011.26,0.0,67.55,2.16,45.27,4.0,47.35,NPST-SM.NS,1.0,0.0830094392004442,0.47887784157214214,0.49361249112845984,0.16334957681456785,0.4177137618217299
Mefcom Capital,531176.0,,Finance & Investments,16.38,28.9,74.86,41.14,1.7,43.29,5.39,3.04,8.29,9.19,6.57,0.67,0.14,15.83,8.0,3.62,96.98,0.57,19.13,1.36,1.42,4.57,17.61,76.91,0.0,74.43,4.71,0.87,2.0,36.23,MEFCOMCAP.BO,0.8461538461538461,0.18239866740699612,0.4526910330019139,0.24331677312514785,0.11102846883816364,0.34744461704761687
Ganesh Housing,526367.0,GANESHHOUC,Construction,997.1,15.23,8314.53,45.01,55.25,41.58,207.57,4.8,552.97,16.59,5.75,0.2,0.02,10.29,8.0,51.75,74.35,65.47,27.87,3.88,49.66,8.34,1297.48,8095.78,0.0,73.06,9.06,526.34,7.0,28.93,GANESHHOUC.NS,0.978021978021978,0.15963353692393115,0.3470569014610465,0.26620534658149986,0.1066427289048474,0.339963844550614
Jagsonpal Fin.,530601.0,,Finance & Investments,46.54,48.3,25.6,45.86,0.65,45.86,2.07,22.46,6.7,47.5,4.16,2.52,0.0,31.7,8.0,72.0,60.91,0.96,19.13,3.59,43.8,0.55,4.0,25.45,0.0,55.94,2.08,0.8,2.0,33.03,JAGSONFI.BO,1.0,0.11549139367018323,0.2843205900200719,0.27123255263780455,0.1176199025391126,0.32194891727443803
Benares Hotels,509438.0,,Hotels,11387.75,38.17,1480.41,40.56,277.23,31.12,1102.92,10.33,2720.8,25.7,5.27,1.14,0.03,17.57,9.0,30.04,70.7,298.31,33.48,5.18,15.35,0.13,5883.53,1419.82,0.0,62.58,3.69,71.53,6.0,26.21,BENARAS.BO,0.967032967032967,0.14630760688506383,0.3300191383092938,0.23988644428672817,0.07981533726596564,0.32076160731982006
Arrow Greentech,516064.0,ARROWGREEN,Plastics Products,522.05,12.78,787.67,35.32,19.56,26.07,108.83,4.8,316.7,23.9,10.71,0.43,0.01,11.62,8.0,19.75,41.52,40.96,26.66,8.97,79.16,1.51,494.29,756.46,0.0,64.81,11.19,0.65,5.0,21.99,ARROWGREEN.NS,0.989010989010989,0.29733481399222655,0.19381039070158243,0.2088951975396262,0.06686329828161068,0.31142290798973665
Colgate-Palmoliv,500830.0,COLPAL,Personal Care - Multinational,2411.7,44.88,65594.78,96.8,48.67,74.52,60.77,39.69,271.06,45.5,1.31,3.71,0.04,37.07,8.0,23.55,5.47,53.74,51.41,1.08,10.76,27.2,511.44,64326.6,0.0,51.0,3.06,3806.38,4.0,44.01,CL,0.9560439560439561,0.03636868406440866,0.02553330532605144,0.5725100544121126,0.19112592972557066,0.30979085337852463
Jeena Sikho,,JSLL,Pharmaceuticals - Indian - Formulations,1639.25,48.36,4075.2,57.94,27.84,42.68,92.18,17.78,265.14,41.66,4.94,0.77,0.0,29.39,8.0,20.93,33.66,33.89,35.18,4.65,46.36,2.49,1044.56,4006.64,0.0,65.84,2.81,9.22,5.0,36.53,JSLL-SM.NS,1.0,0.13714602998334258,0.15712085142136956,0.3426780222379938,0.10946396511926136,0.30713781632346193
Beacon,,BEACON,Finance & Investments,66.3,23.21,119.77,42.62,3.64,31.1,24.27,2.73,44.56,29.79,4.19,,0.0,6.29,8.0,24.71,55.16,3.64,19.13,4.19,58.04,1.81,200.09,116.91,0.0,46.15,6.05,2.22,5.0,20.84,BECN,1.0,0.11632426429761243,0.2574802782056668,0.25207002602318423,0.0797640420620672,0.30400173602798947
Trust Fintech,,TRUST,Computers - Software - Medium / Small,81.1,18.44,193.22,46.12,7.13,34.58,44.76,1.81,72.25,24.16,10.47,,0.0,5.41,8.0,35.99,14.12,5.18,27.72,10.47,124.96,2.38,186.95,190.51,0.0,68.85,7.18,0.47,4.0,29.88,09KD.BE,1.0,0.2906718489727929,0.06591047005554777,0.2727702862550272,0.08868940754039498,0.2969039260675299
Waaree Energies,544277.0,WAAREEENER,Electric Equipment,2125.25,61.78,61054.86,43.63,62.76,33.35,168.68,12.6,488.04,52.13,1.16,,0.2,8.78,9.0,8.93,80.05,62.76,45.56,0.83,31.11,28.73,1739.34,58227.15,0.0,64.3,2.58,1868.4,6.0,10.9,WAAREEENER.NS,0.7802197802197802,0.032204330927262624,0.3736638192596742,0.25804352969008754,0.0855347525006412,0.28560544447148384
Kothari Petroche,,KOTHARIPET,Petrochemicals,141.55,13.02,832.97,41.32,10.84,28.79,46.92,3.02,106.91,12.32,3.94,0.33,0.01,8.25,8.0,10.47,38.54,10.83,17.82,3.35,35.51,5.88,271.05,813.1,0.0,70.98,10.7,61.4,5.0,21.43,KOTHARIPET.NS,0.989010989010989,0.10938367573570237,0.17990010736124726,0.2443813579370712,0.0738394460117979,0.2788475711288745
Avantel,532406.0,AVANTEL,Telecommunications - Equipment,109.45,40.81,2678.63,47.5,2.28,39.15,8.4,13.03,22.56,18.14,2.83,0.97,0.08,19.04,8.0,24.76,42.31,2.69,42.41,1.92,104.49,24.47,82.28,2687.36,0.0,38.58,3.45,-12.56,5.0,29.44,AVANTEL.NS,0.9120879120879121,0.07856746252082177,0.1974980161508659,0.2809321031464395,0.10041036163118748,0.27816967631059303
EIH,500840.0,EIHOTEL,Hotels,359.1,31.93,22456.83,23.62,10.22,17.62,65.4,5.49,129.21,55.06,2.44,1.06,0.05,9.25,9.0,27.21,72.0,11.34,33.48,2.34,29.07,62.54,164.76,21981.03,0.0,32.85,4.63,984.47,3.0,14.48,EIHMX,0.945054945054945,0.06774014436424208,0.3360873827195071,0.13969718476460846,0.045191074634521676,0.27630576819079294
R S Software (I),517447.0,RSSOFTWARE,Computers - Software - Medium / Small,63.97,9.26,165.24,44.35,7.04,45.68,23.41,2.73,60.69,32.8,4.87,0.44,0.01,7.02,8.0,30.77,18.86,6.99,27.72,4.87,68.6,2.58,36.19,149.02,0.0,40.5,12.71,10.44,3.0,32.85,RSSOFTWARE.NS,0.989010989010989,0.13520266518600776,0.08803622275124866,0.2623018689377809,0.11715824570402668,0.27329326000502363
Unique Organics,530997.0,,Trading,138.0,7.8,82.11,38.07,10.65,32.63,50.39,2.74,141.62,9.12,4.01,0.14,0.07,10.63,8.0,3.52,43.41,17.69,28.8,3.5,17.76,0.6,378.73,68.4,0.0,34.64,21.04,7.27,6.0,21.63,UNIQUEO.BO,0.9230769230769231,0.11132704053303719,0.20263268449796948,0.2251596877217885,0.08368812516029753,0.2731546802690555
EIH Assoc.Hotels,523127.0,EIHAHOTELS,Hotels,333.85,23.69,2034.36,25.1,13.31,18.76,73.87,4.52,149.92,30.79,3.33,1.52,0.01,8.7,8.0,20.95,55.98,13.52,33.48,3.11,21.16,6.09,176.31,1991.09,0.0,75.0,5.78,136.07,6.0,15.1,,0.989010989010989,0.09244863964464185,0.26130794006441677,0.1484504376626449,0.048114901256732505,0.2714814290805564
Mah. Seamless,500265.0,MAHSEAMLES,Steel - Large,661.4,11.77,8862.21,22.92,71.0,18.12,443.78,1.49,749.48,9.64,8.33,0.45,0.0,5.1,8.0,17.62,32.78,56.26,16.51,5.54,35.01,13.4,613.58,8803.14,0.0,68.07,11.29,1625.57,6.0,15.3,MAHSEAMLES.BO,1.0,0.23126041088284285,0.1530131167436867,0.13555713271823988,0.04647345473198256,0.2709114788525347
Chandni Machines,542627.0,,Trading,46.4,11.18,14.98,28.91,5.36,21.8,31.08,1.49,53.88,8.56,1.35,0.14,0.01,10.41,8.0,1.04,56.67,4.15,28.8,1.15,7.19,0.32,152.72,6.65,0.0,46.5,29.47,5.74,6.0,11.76,CHANDNIMACH.BO,0.989010989010989,0.03747917823431427,0.26452877748214537,0.17098414951502247,0.055911772249294694,0.26735886272191095
Mazagon Dock,543237.0,MAZDOCK,Miscellaneous,2316.0,33.96,93422.81,44.19,48.02,35.19,180.67,12.82,526.54,15.83,1.18,1.15,0.0,6.62,8.0,20.45,32.74,68.2,41.3,0.94,71.21,40.34,1183.26,79864.9,0.0,84.83,4.44,1546.11,5.0,6.57,MAZDOCK.NS,1.0,0.032759578012215435,0.15282640153106475,0.26135557132718235,0.09025391125929726,0.2650804125025052
Gillette India,507815.0,GILLETTE,Personal Care - Multinational,7774.3,53.45,25336.44,58.91,126.35,42.49,332.84,23.36,1043.77,65.96,1.72,5.17,0.0,24.2,9.0,15.82,9.93,145.48,51.41,1.16,38.03,3.26,2112.52,24776.69,0.0,75.0,2.64,1171.25,4.0,22.23,GILLETTE.NS,1.0,0.047751249305941136,0.046352051533398685,0.34841495150224744,0.10897666068222622,0.2626165851814326
Mahanagar Gas,539957.0,MGL,Miscellaneous,1285.95,12.01,12702.33,36.6,130.5,27.79,560.23,2.3,1161.78,14.09,1.14,0.64,0.03,5.1,8.0,20.64,42.62,107.08,17.24,1.11,16.4,9.88,1478.61,12534.99,0.0,32.5,11.21,1306.27,7.0,19.45,MGL.NS,0.967032967032967,0.03164908384230982,0.19894505904868598,0.21646557842441447,0.07127468581687613,0.25866907943383666
Triveni Turbine,533655.0,TRITURBINE,Electric Equipment,514.25,48.18,16346.82,38.32,8.47,28.53,34.29,15.0,90.74,39.65,2.05,2.4,0.01,16.97,9.0,14.86,33.03,10.67,45.56,1.8,39.3,31.79,205.34,15770.12,0.0,55.84,2.92,815.76,6.0,16.23,TRITURBINE.BO,0.989010989010989,0.0569128262076624,0.1541800868225739,0.2266382777383487,0.07317260836111825,0.2582414125187177
Danlaw Tech.,532329.0,,Electronics - Components,974.75,24.96,474.77,40.21,45.64,47.46,135.2,7.21,344.65,42.35,2.37,0.18,0.56,8.56,9.0,10.54,96.49,39.05,49.26,1.48,60.27,0.49,544.73,485.9,0.0,61.88,5.79,12.91,4.0,18.36,DANLAW.BO,0.3846153846153846,0.06579677956690727,0.45040377164729495,0.23781641826354388,0.12172351885098744,0.25536059394041916
NDR Auto Compon.,543214.0,NDRAUTO,Auto Ancillaries,699.7,34.34,1664.26,19.39,16.26,16.31,114.5,6.11,229.06,18.27,1.55,,0.13,9.62,8.0,6.39,74.03,20.37,24.58,1.21,52.86,2.38,552.43,1678.31,0.0,73.06,3.91,-32.92,4.0,10.39,NDRAUTO.BO,0.8571428571428572,0.043031649083842306,0.34556317976007095,0.11467944168440974,0.04183123877917415,0.25487068942093155
Cummins India,500480.0,CUMMINSIND,Engines,2835.25,40.39,78593.13,35.23,59.91,28.11,233.65,12.13,607.49,36.29,3.01,2.23,0.0,17.84,8.0,18.09,27.43,70.2,24.64,2.46,84.65,27.72,1068.59,76976.49,0.0,51.0,3.29,2433.57,4.0,20.25,CUMMINSIND.BO,1.0,0.08356468628539698,0.1280399570555011,0.2083629051336645,0.07209540907925109,0.2548145893635378
Dhanalaxmi Roto,521216.0,,Trading,210.0,9.74,81.9,38.4,33.51,28.43,131.55,1.6,252.63,5.44,2.69,0.24,0.11,6.29,8.0,6.17,39.23,21.56,28.8,2.63,51.45,0.39,288.1,55.19,0.0,47.64,21.33,26.28,6.0,17.19,DHANROTO.BO,0.8791208791208791,0.07468073292615213,0.18312094477897586,0.22711142654364797,0.07291613234162606,0.2525900264251611
Concord Biotech,543960.0,CONCORDBIO,Pharmaceuticals - Indian - Bulk Drugs & Formln,1649.15,52.56,17252.78,27.87,29.13,20.89,152.04,10.85,327.62,56.91,6.6,2.59,0.0,18.89,8.0,28.93,18.13,31.38,27.99,4.83,125.48,10.46,674.61,17247.75,0.0,44.08,2.57,332.94,2.0,18.31,CONCORDBIO.NS,1.0,0.1832315380344253,0.0846286701208981,0.164833215046132,0.05357784047191588,0.25148568624071915
Indian Energy Ex,540750.0,IEX,Miscellaneous,153.56,34.43,13692.83,50.01,3.83,37.66,11.38,13.49,33.8,39.57,1.8,2.11,0.01,15.42,8.0,72.65,12.3,4.46,44.09,1.8,70.11,89.17,79.54,13637.4,0.0,0.0,3.91,1032.57,5.0,20.47,IEX.NS,0.989010989010989,0.04997223764575236,0.057414927881249134,0.295777146912704,0.09658886894075404,0.2511730310218027
Action Const.Eq.,532762.0,ACE,Engineering,1151.25,35.23,13709.45,42.3,27.56,30.58,116.19,9.91,292.27,27.53,1.33,0.83,0.08,12.67,8.0,11.28,33.41,32.67,31.58,0.76,20.58,11.91,766.47,13759.26,0.0,65.41,4.05,565.25,6.0,17.44,,0.9120879120879121,0.03692393114936147,0.15595388134248236,0.2501774308019872,0.07843036676070787,0.24890800289121867
Fluidomat,522017.0,,Engineering,755.2,18.63,372.31,31.99,26.49,23.69,141.69,5.33,359.55,16.39,3.38,0.46,0.0,10.35,8.0,23.91,25.19,40.55,31.58,3.07,90.1,0.49,636.69,368.89,0.65,53.44,7.2,17.55,6.0,19.91,FLUIDOM.BO,1.0,0.09383675735702386,0.117583905148672,0.18920037851904423,0.06075916901769685,0.24815523726592098
Auto.Corp.of Goa,505036.0,,Auto Ancillaries,1232.2,18.44,750.24,18.67,63.02,18.6,386.59,3.19,762.34,25.17,2.56,1.76,0.21,7.05,9.0,6.57,71.57,66.81,24.58,2.1,47.85,0.61,773.19,760.53,0.0,49.77,7.16,17.84,5.0,10.82,,0.7692307692307693,0.0710716268739589,0.3340801941838211,0.11042110243671635,0.047704539625545016,0.2447441177178147
Axtel Industries,523850.0,,Engineering,461.8,40.15,746.03,40.73,19.89,29.44,75.95,6.08,140.2,26.18,2.81,2.3,0.0,9.82,8.0,13.79,13.34,11.5,32.36,2.03,81.33,1.62,352.5,734.37,0.0,49.95,3.7,39.89,2.0,16.42,AXTEL.BO,1.0,0.07801221543586896,0.06226952340941978,0.2408918854979891,0.07550654013849706,0.24444950906682597
A B B,500002.0,ABB,Electric Equipment,5118.55,57.86,108466.36,38.56,88.33,28.8,333.9,15.33,814.6,94.29,2.04,1.44,0.01,17.0,8.0,15.38,20.68,88.33,45.56,1.7,89.35,21.19,1563.15,103010.42,0.0,75.0,2.46,2880.54,5.0,16.03,ARCTIC.ST,0.989010989010989,0.056635202665186006,0.09653176492554731,0.2280577241542465,0.07386509361374712,0.2441961936696711
Abbott India,500488.0,ABBOTINDIA,Pharmaceuticals - Multinational,29597.0,47.13,62893.63,46.02,565.3,34.88,1657.05,17.86,4838.82,48.89,2.25,2.14,0.02,23.67,8.0,20.54,10.71,628.0,47.13,1.71,19.91,2.12,8455.55,61848.43,0.0,74.99,2.92,2928.26,5.0,24.64,ABBOTINDIA.NS,0.978021978021978,0.06246529705719044,0.04999299817952668,0.2721788502484031,0.08945883559887152,0.24402214282907134
Kachchh Minerals,531778.0,,Mining / Minerals / Metals,25.7,,13.62,32.45,1.17,38.51,3.62,7.1,,37.12,4.97,,0.16,10.36,8.0,23.75,29.21,-0.34,16.24,4.62,102.09,0.53,,12.8,0.0,42.92,-0.94,1.33,4.0,27.49,KACHCHH.BO,0.8241758241758241,0.13797890061077178,0.13634878401717782,0.19192098414951503,0.09876891510643755,0.24344732960401294
Indrapr.Medical,532150.0,INDRAMEDCO,Healthcare,315.45,19.13,2891.82,38.35,13.52,29.12,57.21,5.51,145.68,13.44,2.07,0.57,0.06,9.49,8.0,10.03,26.6,16.49,53.78,2.03,17.13,9.17,242.79,2615.21,0.0,51.0,7.99,295.47,5.0,19.53,,0.9340659340659341,0.057468073292615204,0.12416561639359568,0.22681570854033592,0.0746858168761221,0.24294521395010368
Motherson Wiring,543498.0,MSUMI,Auto Ancillaries,50.8,35.52,22459.23,47.96,1.44,42.45,3.66,13.88,10.85,51.9,1.68,,0.17,15.21,9.0,7.66,28.36,1.43,24.58,0.82,39.26,442.11,38.64,22688.55,0.0,61.73,3.8,1105.7,5.0,21.15,,0.8131868131868132,0.04664075513603553,0.1323810857489614,0.28365270877691035,0.10887407027442936,0.2429068002527374
